date,time,total_light,infared,visible,full_spectrum
10/07/19,18:48:02,1.423104,2,131082,131084
10/07/19,18:48:03,1.423104,2,131082,131084
10/07/19,18:48:04,1.423104,2,131082,131084
10/07/19,18:48:05,1.423104,2,131082,131084
10/07/19,18:48:06,1.423104,2,131082,131084
10/07/19,18:48:07,1.423104,2,131082,131084
10/07/19,18:48:08,1.423104,2,131082,131084
10/07/19,18:48:09,1.423104,2,131082,131084
10/07/19,18:48:10,1.423104,2,131082,131084
10/07/19,18:48:11,1.423104,2,131082,131084
10/07/19,18:48:12,1.423104,2,131082,131084
10/07/19,18:48:13,1.423104,2,131082,131084
10/07/19,18:48:14,1.423104,2,131082,131084
10/07/19,18:48:15,1.423104,2,131082,131084
