beacon,constant,coefficient
1,0.062666667,1
2,0,1
3,0,1
4,0,1
5,0.425155556,1
6,0.495906667,1
7,2.35544,1
8,0,1
9,0,1
10,1.631155556,1
11,-4.046684444,1
12,0,1
13,0,1
14,0,1
15,1.11546,1
16,3.3261,1
17,0,1
18,0,1
19,-0.001274444,1
20,0,1
21,1.5138,1
22,0,1
23,0,1
24,-3.349928889,1
25,1.447004444,1
26,2.501155556,1
27,0,1
28,0,1
29,1.941393333,1
30,-3.9814,1
31,0,1
32,0,1
33,0,1
34,-3.383173333,1
35,0,1
36,-3.207228889,1
37,0,1
38,-3.096693333,1
39,0,1
40,0,1
41,0,1
42,0,1
43,0,1
44,-3.247408889,1
45,0,1
46,2.138533333,1
47,0,1
48,0,1
49,0,1
50,0,1
