beacon,constant,coefficient
0,0,1
1,315.348204,0.736629458
2,42.50339851,0.693222046
3,0,1
4,156.5019321,0.682066317
5,342.2928055,0.800932195
6,0,1
7,0,1
8,181.2307433,0.773064975
9,0,1
10,100.7499404,0.656606007
11,0,1
12,56.65134715,0.647206379
13,137.0352032,0.744240931
14,122.3946711,0.682256191
15,242.3340776,0.700571097
16,261.6812106,0.768533956
17,66.23066214,0.658631604
18,448.4805307,0.793947838
19,404.6179381,0.78298839
20,0,1
21,327.1831828,0.888798749
22,139.9685678,0.70453415
23,151.894751,0.743308309
24,356.0259834,0.855684592
25,144.0881255,0.716171956
26,225.9054707,0.777751166
27,166.074449,0.710030441
28,359.0521313,0.808780502
29,354.6260881,0.845108276
30,189.1138538,0.785868161
31,456.5274651,0.860368072
32,456.6814394,0.540764972
33,444.1341446,0.918046274
34,262.091973,0.554947466
35,0,1
36,363.586622,0.845358297
37,306.1720929,0.704186471
38,211.2381473,0.756353529
39,0,1
40,476.1539709,0.618243445
41,0,1
42,0,1
43,259.5105391,0.674118602
44,453.8957208,0.588072856
45,0,1
46,375.42068,0.543876474
47,0,1
48,315.8086245,0.77830341
49,0,1
