beacon,constant,coefficient
1,-0.276482332,0.016356839
2,0,1
3,0,1
4,0,1
5,1.796164308,-0.00861229
6,0,1
7,0,1
8,0,1
9,0,1
10,1.813982929,-0.007678025
11,0,1
12,0,1
13,0,1
14,0,1
15,1.787163854,-0.008654053
16,2.542080149,-0.020245698
17,1.429687726,-0.00213588
18,0,1
19,1.413247747,-0.004925661
20,0,1
21,1.946586307,-0.001280648
22,2.036281753,-0.007081154
23,0,1
24,2.402220331,-0.001878345
25,4.325482685,-0.033699713
26,2.799358546,-0.003238222
27,0,1
28,0,1
29,0,1
30,0,1
31,0,1
32,0,1
33,0,1
34,0,1
35,0,1
36,0,1
37,0,1
38,0,1
39,0,1
40,0,1
41,0,1
42,0,1
43,0,1
44,0,1
45,0,1
46,0,1
47,0,1
48,0,1
49,0,1
50,0,1
