beacon,constant,coefficient
1,0.0,1.0
2,-117.90478795344208,1.7105336701556537
3,0.0,1.0
4,-77.81146036229516,1.5504043372706477
5,17.28639567392584,-0.27365737198351964
6,-20.86604415205749,0.2708438659671318
7,12.953502669977537,-0.03128959980272981
8,0.0,1.0
9,-223.37712887486367,3.9443638565477595
10,-575.1140833333333,10.719566666666665
11,-12.757216521492499,0.24136894487176194
12,-8.196310153817034,0.34549757327940345
13,0.0,1.0
14,0.0,1.0
15,10.89362972314786,0.0026036537405637818
16,10.677520714076715,0.016580287407150316
17,0.0,1.0
18,0.0,1.0
19,0.0,1.0
20,0.0,1.0
21,13.946136711652064,0.024618780839143352
22,0.0,1.0
23,-0.7799179151837414,0.06096938677563302
24,0.0,1.0
25,10.715976329535948,0.007487433409557293
26,2.483093078641282,0.02823265125101824
27,0.0,1.0
28,6.751274796281404,0.018827268315785513
29,6.613062145820457,0.026331705607872142
30,0.0,1.0
31,0.0,1.0
32,0.0,1.0
33,0.0,1.0
34,0.0,1.0
35,0.0,1.0
36,0.0,1.0
37,0.0,1.0
38,0.0,1.0
39,0.0,1.0
40,0.0,1.0
41,0.0,1.0
42,0.0,1.0
43,0.0,1.0
44,0.0,1.0
45,0.0,1.0
46,0.0,1.0
47,0.0,1.0
48,0.0,1.0
49,0.0,1.0
50,0.0,1.0
