beacon,constant,coefficient
1,0.12319539634113419,0.09950626861994724
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.29062856256225567,0.09146145287326504
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.11968070023799204,0.1200167609030505
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.02690349233359579,0.22140909602077744
16,-0.45921121773980134,0.3471351653655553
17,0.019174061694833378,0.2374750453037829
18,0.0,0.0
19,-0.5153602861225483,0.4049421506042466
20,0.0,0.0
21,-0.5699091751045157,0.39059505402870737
22,-0.15453916380420007,0.31995185061385656
23,0.0,0.0
24,-0.5690459659891302,0.37063996535847643
25,-0.21748869104922752,0.2823390437185013
26,-0.5826301770151227,0.35942222029085824
27,0.0,0.0
28,-0.5300957355838863,0.3811541769315351
29,-0.30625879913596565,0.3084531925128573
30,-0.30350825283244875,0.30600888910887436
31,0.0,0.0
32,-0.34481839900658684,0.3906026483478349
33,0.0,0.0
34,-0.6347849212656127,0.38807293692839995
35,0.0,0.0
36,-0.5625480183509335,0.3787788141509844
37,0.0,0.0
38,-0.2164699975097074,0.30821827541901925
39,0.0,0.0
40,-0.5595390264258977,0.3613374779558067
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,-0.5591115536626364,0.28432431077009623
45,0.0,0.0
46,-0.03032803502353465,0.3495603556019602
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
