beacon,constant,coefficient
0,0,1
1,0.08275886,0.059432124
2,0.092430177,0.130047323
3,0,1
4,-0.069000586,0.08489728
5,-0.323696646,0.132885949
6,0,1
7,0,1
8,0.092815082,0.1262966
9,0,1
10,-0.491403361,0.156323767
11,0,1
12,-0.227578224,0.112452867
13,-0.326332259,0.122609833
14,0.136214399,0.139072735
15,-0.309336983,0.112479435
16,-0.414033215,0.131900647
17,-0.29972061,0.106422045
18,-0.39440307,0.172837955
19,-0.253637378,0.137193287
20,0,1
21,-0.259944155,0.111923555
22,-0.382762955,0.138595046
23,0.042749686,0.063960362
24,-0.325758421,0.120114382
25,-0.366885473,0.126830607
26,-0.460545513,0.112765231
27,-0.4986755,0.167453326
28,-0.27835702,0.123432863
29,-0.211409732,0.120509709
30,-0.218912653,0.115964996
31,-0.284565112,0.127229732
32,-0.337670908,0.160926048
33,-0.208573264,0.145191243
34,-0.211491459,0.09884048
35,0,1
36,-0.244908061,0.10949235
37,-0.264094114,0.107084081
38,-0.335449526,0.138798841
39,0,1
40,-0.298218955,0.119850026
41,0,1
42,0,1
43,0.312273877,0.023798426
44,-0.374419785,0.137087925
45,0,1
46,-0.292645441,0.128918246
47,0,1
48,-0.406155183,0.145392705
49,0,1
